iter	Passed	Remaining
410	3757	9957
411	3768	9950
412	3778	9945
413	3788	9938
414	3798	9932
415	3809	9927
416	3821	9924
417	3831	9917
418	3842	9912
419	3852	9906
420	3863	9901
421	3873	9894
422	3878	9875
423	3880	9848
424	3883	9823
425	3894	9818
426	3904	9811
427	3905	9782
428	3915	9775
429	3926	9769
430	3935	9762
431	3945	9753
432	3947	9727
433	3957	9719
434	3960	9697
435	3969	9688
436	3976	9672
437	3987	9668
438	3989	9641
439	3999	9635
440	4010	9631
441	4021	9625
442	4032	9620
443	4043	9617
444	4055	9614
445	4058	9592
446	4068	9583
447	4079	9578
448	4089	9573
449	4100	9567
450	4110	9561
451	4122	9557
452	4133	9553
453	4145	9550
454	4155	9544
455	4166	9539
456	4169	9515
457	4179	9509
458	4190	9503
459	4200	9497
460	4211	9491
461	4221	9484
462	4232	9478
463	4234	9455
464	4244	9448
465	4256	9444
466	4258	9418
467	4268	9412
468	4270	9388
469	4275	9370
470	4286	9365
471	4297	9359
472	4307	9353
473	4310	9331
474	4320	9323
475	4331	9317
476	4341	9311
477	4352	9306
478	4362	9299
479	4373	9292
480	4383	9287
481	4393	9280
482	4405	9275
483	4415	9268
484	4426	9264
485	4437	9258
486	4449	9256
487	4461	9252
488	4473	9248
489	4484	9244
490	4496	9239
491	4507	9235
492	4518	9230
493	4528	9222
494	4538	9214
495	4549	9209
496	4559	9202
497	4570	9195
498	4581	9189
499	4591	9183
500	4602	9177
501	4614	9173
502	4625	9167
503	4635	9160
504	4639	9140
505	4649	9133
506	4650	9108
507	4660	9100
508	4670	9093
509	4682	9090
510	4693	9084
511	4704	9079
512	4711	9064
513	4721	9057
514	4724	9036
515	4735	9030
516	4748	9028
517	4755	9015
518	4766	9009
519	4778	9005
520	4789	9000
521	4800	8994
522	4813	8991
523	4824	8985
524	4825	8962
525	4835	8954
526	4846	8948
527	4857	8941
528	4867	8934
529	4878	8929
530	4890	8924
531	4902	8920
532	4913	8914
533	4925	8910
534	4937	8906
535	4949	8901
536	4960	8896
537	4971	8889
538	4982	8883
539	4993	8877
540	5006	8874
541	5009	8854
542	5019	8847
543	5031	8842
544	5043	8837
545	5044	8814
546	5054	8806
547	5064	8798
548	5075	8792
549	5087	8787
550	5097	8780
551	5108	8773
552	5119	8766
553	5129	8759
554	5142	8755
555	5153	8750
556	5164	8743
557	5175	8736
558	5186	8730
559	5196	8722
560	5208	8717
561	5219	8711
562	5230	8704
563	5241	8699
564	5244	8678
565	5254	8671
566	5258	8653
567	5269	8646
568	5279	8638
569	5290	8632
570	5303	8629
571	5315	8623
572	5326	8617
573	5338	8611
574	5349	8605
575	5360	8598
576	5370	8591
577	5381	8585
578	5392	8578
579	5404	8572
580	5415	8566
581	5428	8562
582	5441	8558
583	5453	8553
584	5466	8550
585	5477	8544
586	5489	8537
587	5500	8532
588	5501	8509
589	5513	8504
590	5524	8497
591	5528	8479
592	5539	8472
593	5551	8467
594	5562	8461
595	5566	8443
596	5569	8424
597	5573	8406
598	5583	8398
599	5595	8392
600	5606	8385
601	5618	8380
602	5630	8375
603	5643	8371
604	5654	8364
605	5666	8359
606	5678	8354
607	5689	8346
608	5701	8341
609	5714	8337
610	5726	8331
611	5737	8324
612	5748	8317
613	5759	8311
614	5770	8303
615	5781	8297
616	5793	8290
617	5804	8283
618	5816	8277
619	5828	8272
620	5839	8265
621	5851	8260
622	5863	8254
623	5865	8234
624	5866	8213
625	5877	8205
626	5889	8199
627	5900	8193
628	5912	8187
629	5923	8180
630	5935	8174
631	5947	8168
632	5958	8161
633	5970	8154
634	5981	8148
635	5993	8142
636	6000	8129
637	6012	8123
638	6024	8117
639	6036	8112
640	6047	8104
641	6059	8098
642	6070	8091
643	6071	8070
644	6083	8063
645	6085	8044
646	6096	8037
647	6108	8031
648	6119	8023
649	6129	8015
650	6130	7995
651	6142	7988
652	6153	7981
653	6164	7973
654	6175	7967
655	6187	7960
656	6199	7955
657	6211	7948
658	6213	7929
659	6223	7921
660	6235	7914
661	6246	7907
662	6258	7900
663	6269	7893
664	6280	7885
665	6292	7879
666	6304	7873
667	6315	7866
668	6327	7859
669	6339	7853
670	6350	7846
671	6361	7838
672	6374	7832
673	6385	7825
674	6398	7820
675	6404	7806
676	6417	7801
677	6430	7795
678	6442	7790
679	6455	7784
680	6468	7779
681	6475	7766
682	6486	7759
683	6499	7753
684	6511	7746
685	6523	7741
686	6535	7734
687	6546	7726
688	6557	7719
689	6570	7712
690	6582	7707
691	6594	7700
692	6605	7692
693	6617	7685
694	6629	7678
695	6641	7671
696	6653	7664
697	6664	7657
698	6676	7650
699	6688	7644
700	6691	7626
701	6694	7609
702	6705	7601
703	6716	7594
704	6729	7588
705	6740	7580
706	6753	7575
707	6765	7567
708	6776	7559
709	6788	7552
710	6799	7545
711	6810	7537
712	6822	7530
713	6833	7523
714	6846	7517
715	6858	7509
716	6861	7493
717	6872	7485
718	6884	7477
719	6896	7471
720	6908	7464
721	6921	7457
722	6923	7440
723	6924	7421
724	6935	7413
725	6941	7400
726	6953	7393
727	6964	7385
728	6976	7378
729	6988	7370
730	7000	7363
731	7012	7357
732	7014	7339
733	7025	7331
734	7037	7324
735	7049	7317
736	7061	7310
737	7073	7303
738	7085	7296
739	7097	7289
740	7109	7281
741	7121	7274
742	7132	7267
743	7144	7259
744	7156	7252
745	7168	7245
746	7180	7237
747	7191	7230
748	7203	7223
749	7215	7215
750	7227	7207
751	7239	7200
752	7250	7193
753	7252	7176
754	7253	7157
755	7264	7149
756	7276	7141
757	7287	7133
758	7299	7126
759	7311	7119
760	7324	7112
761	7335	7104
